id arrival begin end wait queue duration serviceTime order
1910 6709 27896 28124 21187 72 228 21415 566
1895 6729 27911 28216 21182 62 305 21487 567
786 6826 28216 28346 21390 63 130 21520 568
1623 6878 28346 28440 21468 63 94 21562 569
977 6889 28440 28467 21551 64 27 21578 570
1913 6754 27941 28373 21187 70 432 21619 571
1013 6880 28373 28558 21493 70 185 21678 572
3220 7036 28722 28751 21686 75 29 21715 573
737 6990 28704 28722 21714 74 18 21732 574
2286 6972 28618 28704 21646 73 86 21732 575
2429 6903 28467 28649 21564 65 182 21746 576
3546 6733 27922 28480 21189 71 558 21747 577
2317 6811 28150 28598 21339 77 448 21787 578
2538 6825 28158 28617 21333 71 459 21792 579
676 6806 28124 28618 21318 73 494 21812 580
3352 6989 28649 28913 21660 66 264 21924 581
1936 6965 28617 28905 21652 72 288 21940 582
1977 7052 28905 29092 21853 72 187 22040 583
2487 6913 28558 29028 21645 71 470 22115 584
2821 6908 28480 29026 21572 71 546 22118 585
3300 6951 28598 29157 21647 77 559 22206 586
771 7115 29028 29361 21913 72 333 22246 587
1989 7040 28751 29302 21711 76 551 22262 588
250 7056 28913 29341 21857 67 428 22285 589
864 7079 29026 29461 21947 72 435 22382 590
2541 7158 29361 29541 22203 73 180 22383 591
